Work_ID,Biodiversity_Richness,Lexical_Richness,Age_Publication,Year_Publication,Literature_Form,Gender,Parenthood,Highest_Education,Biodiversity_Background,Main_Region,Migrating,Main_Residence,genre_satire,genre_historical,genre_social,genre_children,genre_adventure,genre_mystery,genre_crime,genre_sf,genre_romance,genre_fantasy,genre_biography,genre_travellogue
PG52204,26.5,2483.93,36,1847,NA,gender_m,has_children,university,no_bio_inclination,british_isles,2,city,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG37657,15.52,2245.41,40,1851,epic_art_novel,gender_m,has_children,university,no_bio_inclination,british_isles,2,city,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG44860,14.1,2290.33,36,1847,epic_art_novel,gender_m,has_children,university,no_bio_inclination,british_isles,2,city,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG35533,13.89,1888.27,55,1876,epic_art_novel,gender_f,has_no_children,school,no_bio_inclination,british_isles,2,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG53581,12.62,1989.59,37,1858,epic_art_novel,gender_f,has_no_children,school,no_bio_inclination,british_isles,2,city,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG35705,13.09,2080.96,54,1875,epic_art_novel,gender_f,has_no_children,school,no_bio_inclination,british_isles,2,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG26094,14.15,2027.01,48,1869,epic_art_novel,gender_f,has_no_children,school,no_bio_inclination,british_isles,2,city,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG49643,12.37,1653.08,50,1871,epic_art_novel,gender_f,has_no_children,school,no_bio_inclination,british_isles,2,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG29863,25.38,1809.03,36,1857,epic_art_novella,gender_f,has_no_children,school,no_bio_inclination,british_isles,2,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG58791,13.58,1837.64,54,1875,NA,gender_f,has_no_children,school,no_bio_inclination,british_isles,2,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG58693,16.71,1702.06,55,1876,epic_art_shortstory,gender_f,has_no_children,school,no_bio_inclination,british_isles,2,city,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG25516,17.94,1690.93,68,1889,epic_art_novel,gender_f,has_no_children,school,no_bio_inclination,british_isles,2,city,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG26348,21.09,1460.24,40,1903,epic_art_novella,gender_m,NA,school,no_bio_inclination,europe,1,village,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG11861,12.82,1864.43,40,1902,epic_art_novel,gender_m,NA,NA,no_bio_inclination,other,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PG25753,11.46,1811.95,60,1922,epic_art_novel,gender_m,NA,NA,no_bio_inclination,other,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
